League;Stat;Next Match;Odds;Date;Resultado;Situação;Tipo_Estatistica;Liga_Categoria;Probabilidade_Sucesso;Previsao;Efetividade;Padrao;Recomendacao;Analise_Detalhada
Primera Division;Sport Huancayo have had BTTS in their last 7 home league matches;SPORT HUANCAYO vs cusco fc;1.67;23/11/2025 17:00;'0-1;FALSO;BTTS;MEDIA_CONFIABILIDADE;0.8111941273235445;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 7 jogos (Odds: 1.67) [BONUS +15%] Previsao: MANTERA STREAK
Liga Pro;LDU Quito have had Over 2.5 Match Goals in their last 6 league matches;LDU QUITO vs barcelona guayaquil;1.9;23/11/2025 17:30;'2-2;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.867703908420371;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.9) [BONUS +15%] Previsao: MANTERA STREAK
Bolivia Primera Division;Nacional Potosí have had Over 2.5 Match Goals in their last 6 league matches;NACIONAL POTOSÍ vs universitario de vinto;1.7;23/11/2025 18:15;'2-2;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.8590428264859595;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.7) [BONUS +15%] Previsao: MANTERA STREAK
Serie A;Recife have Lost their last 7 league matches;RECIFE vs vitória;1.96;23/11/2025 18:30;'1-3;VERDADEIRO;DERROTA;MEDIA_CONFIABILIDADE;0.5767683239962652;FALSO;VERDADEIRO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: DERROTA em 7 jogos (Odds: 1.96) [BONUS +15%] Previsao: INTERROMPERA STREAK
US MLS;Club Internacional de Fútbol Miami have had Over 2.5 Match Goals in their last 7 league matches;CLUB vs cincinnati;1.48;23/11/2025 19:00;'0-4;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.5464257454951373;FALSO;VERDADEIRO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 7 jogos (Odds: 1.48) [BONUS +15%] Previsao: INTERROMPERA STREAK
Bolivia Primera Division;Guabirá have had Over 2.5 Match Goals in their last 6 league matches;GUABIRÁ HAVE vs san antonio bulo bulo;1.48;23/11/2025 20:30;'1-2;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.9084920197941556;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.48) [BONUS +15%] Previsao: MANTERA STREAK
Bolivia Primera Division;Guabirá have had Over 2.5 Match Goals in their last 6 league matches;GUABIRÁ vs san antonio bulo bulo;1.4;23/11/2025 20:30;'1-2;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.95;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.4) [BONUS +15%] Previsao: MANTERA STREAK
Chile Primera Division;Unión La Calera have Lost their last 6 away league matches;UNIÓN LA CALERA vs colo-colo;1.46;23/11/2025 20:30;'4-1;VERDADEIRO;DERROTA;MEDIA_CONFIABILIDADE;0.6979207940752058;VERDADEIRO;FALSO;PADRAO_FORTE;BOA;PADRAO_FORTE: DERROTA em 6 jogos (Odds: 1.46) [BONUS +15%] Previsao: MANTERA STREAK
Cypriot First Division;Krasava ENY Ypsonas FC have Lost their last 6 league matches;KRASAVA ENY YPSONAS FC vs akritas;;24/11/2025 14:00;'0-3;VERDADEIRO;DERROTA;MEDIA_CONFIABILIDADE;0.6502005830536434;VERDADEIRO;FALSO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: DERROTA em 6 jogos (Odds: nan) [BONUS +15%] Previsao: MANTERA STREAK
Superliga;Odense BK have had BTTSin their last 12 league matches;ODENSE BK vs randers fc;1.57;24/11/2025 15:00;2-0;FALSO;BTTS;MEDIA_CONFIABILIDADE;0.932138888888889;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 12 jogos (Odds: 1.57) [BONUS +15%] Previsao: MANTERA STREAK
